title,description,price,compare_at_price,brand,category,sku,stock,image_url_1,image_url_2
"Pediasure Triplesure Vanilla Milk Powder 850g","Pediasure Triplesure Vanilla 850g is a complete balanced nutritional supplement formulated for healthy growth and strong immunity.",7100,8165,"ABBOTT NUTRITION","baby-nutrition","SKU-PEDIA-850-V",50,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/ProductsImages/Pediasure%20Triplesure%20Vanilla%20Milk%20Powder%20850G.png",""
"Pediasure Triplesure Chocolate Milk Powder 400g","Rich chocolate nutritional supplement supporting childhood growth and immunity.",3515,4042,"ABBOTT NUTRITION","baby-nutrition","SKU-PEDIA-400-C",45,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/ProductsImages/pediasure%20triplesure%20chocolate%20milk%20powder%20400G.png",""
"Pediasure Triplesure Vanilla Milk Powder 400g","Complete nutritional formula for picky eaters with vital vitamins and DHA.",3515,4042,"ABBOTT NUTRITION","baby-nutrition","SKU-PEDIA-400-V",40,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/pediasure-vanilla-400g.webp",""
"Pediasure Triplesure Strawberry Milk Powder 850g","Delicious strawberry flavored formula packed with iron calcium and minerals.",7100,8165,"ABBOTT NUTRITION","baby-nutrition","SKU-PEDIA-850-S",35,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/pediasure-strawberry-850g.webp",""
"Enfagrow A+ Stage 3 Vanilla Milk Powder 400g","Advanced nutrition formula for growing children aged 1-3 years with high DHA and prebiotic dietary fiber.",3850,4200,"MEAD JOHNSON","baby-nutrition","SKU-ENFA-ST3-400",60,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/enfagrow-a-stage-3-vanilla-400g.webp",""
"Meiji Big Growing Up Formula Powdered Milk 400g","Japanese formulation growing up formula fortified with DHA nucleotides and essential fatty acids.",3400,3800,"MEIJI","baby-nutrition","SKU-MEIJI-BIG-400",55,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/meiji-big-growing-up-formula-powdered-milk-400g.webp",""
"Meiji Big Growing Up Formula Powdered Milk 900g","Full size 900g tin of premium Meiji Big formula for sustained nutritional support.",7200,8000,"MEIJI","baby-nutrition","SKU-MEIJI-BIG-900",30,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/meiji-big-growing-up-formula-powdered-milk-900g.webp",""
"Meiji FM-T Infant Formula Powdered Milk 400g","Scientifically designed infant formula modeled after maternal breast milk composition.",3900,4300,"MEIJI","baby-nutrition","SKU-MEIJI-FMT-400",40,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/meiji-fm-t-infant-formula-powdered-400g.webp",""
"Meiji FM-T Infant Formula Powdered Milk 900g","High volume infant formula providing continuous care and gentle digestion.",7800,8600,"MEIJI","baby-nutrition","SKU-MEIJI-FMT-900",25,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/meiji-fm-t-infant-formula-powdered-900g.webp",""
"Meiji FU Follow Up Formula Powdered Milk 400g","Stage 2 follow-up formula for babies from 6 months upwards supporting solid food weaning.",3600,4000,"MEIJI","baby-nutrition","SKU-MEIJI-FU-400",50,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/meiji-fu-follow-up-formula-powdered-milk-400g.webp",""
"Canbebe Baby Diapers Size 3 Midi (4-9kg) 46s","Super absorbent breathable baby diapers with elastic side ears and wetness indicator.",2450,2800,"CANBEBE","baby-diapers","SKU-CAN-SZ3-46",75,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/canbebe-baby-diapers-size-3-midi-46s.webp",""
"Canbebe Baby Diapers Size 4 Maxi (7-18kg) 40s","Maximum daytime and nighttime absorption preventing skin irritation and leaks.",2450,2800,"CANBEBE","baby-diapers","SKU-CAN-SZ4-40",70,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/canbebe-baby-diapers-size-4-maxi-40s.webp",""
"Bona Papa Comfort Diaper Size 3 Large 40s","Soft cottony touch diaper with 3D leak guards keeping baby dry up to 12 hours.",2150,2500,"BONA PAPA","baby-diapers","SKU-BONA-SZ3-40",80,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/bona-papa-comfort-diaper-size-3-40s.webp",""
"Molfix Baby Diaper Pants Size 4 Maxi 36s","Pull up pant style diaper with 360 degree soft flexible waistband for active toddlers.",2850,3200,"MOLFIX","baby-diapers","SKU-MOL-SZ4-36",65,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/molfix-baby-diaper-pants-size-4-36s.webp",""
"Friends Adult Diaper Pants Medium 10s","Discreet high absorbency pull up underwear for adult incontinence care with anti bacterial core.",2200,2600,"FRIENDS","adult-care","SKU-FRN-MED-10",50,"https://dvago-assets.s3.ap-southeast-1.amazonaws.com/dvago-products-images/friends-adult-diaper-pants-medium-10s.webp",""
